Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Varus Varus	18	174	81%	12	6	67%	5.5	2.4	2.67	86.7	32:17	9.5	856	487	18.1	868	631
Lucian Lucian	48	58	41%	19	29	40%	2.6	4.9	1.69	81.8	30:38	10.0	786	453	2.8	16	135
Ezreal Ezreal	55	45	38%	27	28	49%	3.5	4.4	1.65	70.0	33:25	10.1	880	476	2.2	-20	45
Caitlyn Caitlyn	47	48	34%	24	23	51%	2.8	6.0	2.09	59.5	33:11	10.1	679	480	5.4	241	155
Ashe Ashe	49	35	29%	30	19	61%	3.0	4.7	2.00	85.4	32:12	9.5	646	463	-4.2	-396	-382
Jhin Jhin	41	12	17%	20	21	49%	6.0	7.3	2.20	27.8	32:37	10.0	662	477	-3.8	-197	21
Miss Fortune Miss Fortune	30	13	13%	14	16	47%	3.5	8.2	2.30	20.0	32:15	10.1	701	504	1.1	-7	43
Ziggs Ziggs	14	23	13%	8	6	57%	5.5	6.7	3.07	8.3	33:14	9.9	959	471	4.8	-143	481
Sivir Sivir	24	15	12%	16	8	67%	4.8	7.9	2.46	22.2	32:16	10.8	788	527	-1.3	231	-10
Corki Corki	26	8	9%	11	15	42%	3.8	8.3	2.38	45.8	31:48	9.7	750	473	-3.2	-198	-45
Yunara Yunara	29	4	8%	10	19	34%	2.6	9.3	2.38	38.5	30:21	10.1	729	486	-3.7	-17	-169
Mel Mel	8	14	8%	3	5	38%	3.2	8.2	2.38	16.7	32:35	9.7	659	487	1.1	417	364
Xayah Xayah	14	4	6%	9	5	64%	6.4	9.0	2.29	38.5	30:54	10.5	753	528	5.4	558	240
Senna Senna	15	3	4%	9	6	60%	5.3	6.3	2.67	7.1	31:48	8.0	710	441	-12.4	-297	-264
Kaisa Kaisa	8	5	4%	5	3	63%	3.9	8.0	2.50	0.0	31:29	9.7	594	494	-5.7	263	-97
Zeri Zeri	10	3	3%	4	6	40%	2.3	9.0	3.10	25.0	29:37	10.1	813	496	-4.6	8	-550
Kalista Kalista	3	4	2%	0	3	0%	0.9	8.0	4.33	100.0	31:00	9.2	475	378	-8.5	-1333	-435
Smolder Smolder	2	3	2%	0	2	0%	2.6	3.0	2.50	0.0	37:05	9.7	737	433	-8.5	-198	116
Draven Draven	1	4	2%	1	0	100%	9.0	5.8	5.00	0.0	31:22	9.6	641	545	-	2007	-
Aphelios Aphelios	4	1	1%	1	3	25%	1.1	7.0	4.00	25.0	32:18	9.5	595	413	6.7	-180	-7
Jinx Jinx	4	1	1%	2	2	50%	2.5	9.0	4.75	0.0	34:24	10.0	730	455	-5	-279	-357
KogMaw KogMaw	1	1	1%	1	0	100%	6.0	9.0	3.00	0.0	35:30	10.4	804	457	-	105	-
Tristana Tristana	1	0	0%	0	1	0%	0.5	-	5.00	0.0	32:15	8.3	377	362	-32	-1601	-1319
