Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Varus Varus	91	677	78%	48	43	53%	3.3	2.7	1.95	85.5	33:05	9.3	815	465	2.9	133	195
Ezreal Ezreal	271	173	41%	129	142	48%	3.7	4.7	1.46	67.9	32:41	10.0	864	475	1.3	-47	51
Ashe Ashe	218	205	39%	130	88	60%	3.5	4.4	1.62	78.1	31:23	9.6	696	478	-1.6	-81	-199
Lucian Lucian	175	187	32%	86	89	49%	2.8	5.7	1.80	71.3	32:13	9.9	857	473	-0.4	-2	-53
Caitlyn Caitlyn	177	168	31%	102	75	58%	3.5	6.3	1.77	45.3	33:18	10.2	746	492	6.4	231	142
Jhin Jhin	174	47	18%	76	98	44%	4.7	8.1	1.80	25.2	32:43	9.9	684	477	1.7	92	189
Vayne Vayne	3	161	17%	2	1	67%	2.1	7.9	2.33	0.0	31:15	8.3	475	435	-10	-81	242
Yunara Yunara	191	45	17%	78	113	41%	2.8	7.5	1.99	53.1	32:06	10.1	753	497	-6.6	-92	-302
Seraphine Seraphine	1	136	14%	0	1	0%	2.8	4.7	1.00	100.0	40:52	8.1	550	413	-9	-357	-1025
Corki Corki	165	29	14%	73	92	44%	3.1	8.2	1.92	47.5	32:14	9.8	784	472	-1.6	-338	-10
Sivir Sivir	91	63	13%	53	38	58%	4.7	7.8	2.02	15.7	32:55	10.7	833	518	-0	309	-24
Ziggs Ziggs	34	57	8%	21	13	62%	5.3	6.3	2.38	11.5	32:39	9.8	944	478	1.1	-119	285
Miss Fortune Miss Fortune	71	28	7%	26	45	37%	3.0	8.6	2.08	20.8	32:11	10.0	727	498	-0.4	-79	44
Mel Mel	28	54	7%	13	15	46%	3.5	8.4	2.29	14.3	31:35	9.8	650	486	5.5	346	483
Xayah Xayah	51	17	5%	33	18	65%	4.9	9.0	2.22	34.8	32:37	10.4	795	511	6	332	280
Kaisa Kaisa	39	23	5%	20	19	51%	3.7	8.0	2.21	13.8	31:18	9.7	648	502	-8.6	-82	-120
Kalista Kalista	18	15	3%	7	11	39%	2.9	8.4	2.39	53.8	33:05	9.5	739	467	-1.5	-481	-294
Senna Senna	28	6	2%	15	13	54%	4.9	7.8	2.29	4.3	32:17	8.0	752	437	-12.4	-363	-215
Zeri Zeri	22	5	2%	10	12	45%	2.9	8.6	2.45	13.3	31:37	10.5	866	507	-2.2	119	-341
Aphelios Aphelios	17	6	1%	11	6	65%	3.8	8.3	2.59	7.7	34:26	9.9	775	507	8.9	396	239
Draven Draven	3	8	1%	1	2	33%	1.9	6.4	3.00	0.0	33:32	9.3	631	470	-5	982	-672
Smolder Smolder	8	4	1%	5	3	63%	6.4	3.5	2.25	0.0	32:03	10.0	846	488	-4.9	-243	169
KogMaw KogMaw	7	3	1%	4	3	57%	4.4	9.3	2.71	0.0	32:00	9.8	952	480	5.8	268	264
Jinx Jinx	6	2	0%	2	4	33%	1.9	9.0	4.00	0.0	33:38	10.3	620	454	-9.8	-285	-526
Tristana Tristana	4	2	0%	1	3	25%	1.9	8.0	3.75	0.0	28:38	9.2	613	468	-10.3	19	-623
Samira Samira	1	0	0%	1	0	100%	6.7	-	2.00	-	25:54	9.4	1042	633	36	2312	1341
