Champion	# Games	Wins	Losses	Winrate	KDA	Avg Kills+Assists	Avg Kills involved	Total Game Kills	Team's FB%	Team's FD%	Team's FRH%	Team's FT%
Lee Sin Lee Sin	52	32	20	61.5	4.3	11.4	14.0	27.4	51.9	70.3	51.4	52
Xin Zhao Xin Zhao	50	24	26	48.0	2.9	9.5	12.9	28.8	50	52.6	57.9	49
Jarvan IV Jarvan IV	47	22	25	46.8	4.3	12.7	15.7	29.9	53.2	45.9	60	55.3
Vi Vi	45	31	14	68.9	3.3	10.9	14.1	29.1	33.3	57.1	39.4	51.1
Wukong Wukong	42	15	27	35.7	2.7	8.8	12.1	28.2	50	60	46.7	42.9
Naafiri Naafiri	40	18	22	45.0	3.6	10.3	13.1	28.6	60	25	40	45
Pantheon Pantheon	37	16	21	43.2	3.1	10.5	13.9	30.6	32.4	42.4	43.8	45.9
Trundle Trundle	32	14	18	43.8	3.8	10.2	12.9	27.9	53.1	52.6	41.2	54.8
Skarner Skarner	20	9	11	45.0	3.4	9.4	12.2	28.8	70	53.3	66.7	36.8
Nocturne Nocturne	16	11	5	68.8	3.7	11.6	14.7	29.2	50	33.3	66.7	56.2
Maokai Maokai	11	5	6	45.5	3.4	10.5	13.6	28.6	45.5	40	80	27.3
Jayce Jayce	10	2	8	20.0	1.8	6.9	10.7	26.0	50	16.7	66.7	88.9
Sejuani Sejuani	9	6	3	66.7	4.5	12.1	14.8	27.9	66.7	37.5	25	55.6
Olaf Olaf	5	4	1	80.0	5.2	12.4	14.8	27.8	80	100	66.7	80
Poppy Poppy	5	4	1	80.0	3.9	10.2	12.8	23.8	80	100	50	60
RekSai RekSai	4	2	2	50.0	4.7	10.5	12.8	27.0	100	66.7	66.7	25
Aatrox Aatrox	4	2	2	50.0	3.2	8.8	11.5	33.8	75	25	50	75
Nidalee Nidalee	3	2	1	66.7	4.4	13.3	16.3	37.3	33.3	-	-	66.7
Ambessa Ambessa	3	1	2	33.3	2.1	7.0	10.3	22.0	33.3	50	50	66.7
Nasus Nasus	2	2	0	100.0	-	14.0	14.0	26.0	50	50	50	100
Kindred Kindred	2	0	2	0.0	0.6	3.5	9.0	24.5	50	0	0	0
Jax Jax	2	1	1	50.0	2.4	9.5	13.5	28.5	50	0	50	50
Zyra Zyra	2	0	2	0.0	1.4	6.5	11.0	25.0	0	100	0	50
Shyvana Shyvana	2	1	1	50.0	3.8	7.5	9.5	22.0	0	100	0	50
Sylas Sylas	1	0	1	0.0	1.3	4.0	7.0	21.0	0	-	-	100
Viego Viego	1	1	0	100.0	6.3	19.0	22.0	41.0	0	100	100	100
Dr. Mundo Dr. Mundo	1	0	1	0.0	1.2	6.0	11.0	27.0	100	0	100	0
Ornn Ornn	1	0	1	0.0	1.0	2.0	4.0	13.0	0	0	0	0
Zaahen Zaahen	1	0	1	0.0	6.0	12.0	14.0	31.0	100	0	100	0
Qiyana Qiyana	1	1	0	100.0	5.0	10.0	12.0	22.0	0	100	0	0
KhaZix KhaZix	1	0	1	0.0	2.8	11.0	15.0	43.0	0	100	0	0
