Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Nocturne Nocturne	13	94	65%	9	4	69%	3.7	3.9	2.08	75.0	32:59	7.3	467	406	2.4	182	292
Jarvan IV Jarvan IV	31	64	53%	13	18	42%	4.3	4.5	1.94	86.7	32:49	6.9	415	385	1	-9	98
Vi Vi	31	32	35%	21	10	68%	3.2	5.7	1.58	80.0	32:06	7.0	366	392	0.3	-176	62
Xin Zhao Xin Zhao	38	30	33%	16	22	42%	2.6	6.3	2.05	34.2	31:39	7.0	464	384	-2.8	-193	-192
Lee Sin Lee Sin	36	25	30%	23	13	64%	4.4	6.6	2.00	58.8	31:09	7.1	458	403	6.7	227	429
Pantheon Pantheon	26	31	29%	10	16	38%	2.9	5.2	2.27	44.0	32:36	6.5	509	382	-8.2	-53	-389
Wukong Wukong	28	27	28%	13	15	46%	3.3	8.0	2.00	38.5	32:41	7.2	382	395	1.2	-59	-148
Naafiri Naafiri	27	26	28%	13	14	48%	3.8	6.2	2.04	57.7	32:26	7.5	601	413	-3.8	133	-156
Trundle Trundle	24	19	21%	10	14	42%	3.6	7.6	2.25	31.8	32:15	6.5	344	384	-9.2	-210	-567
Jayce Jayce	5	24	16%	0	5	0%	1.6	7.0	3.60	100.0	32:09	7.4	687	407	1	427	51
Skarner Skarner	17	9	12%	9	8	53%	3.8	5.6	2.18	13.3	32:40	6.5	425	366	8.8	-53	344
Olaf Olaf	4	16	11%	3	1	75%	4.5	8.2	2.75	0.0	30:41	7.3	678	425	30	654	1430
Ambessa Ambessa	3	16	11%	1	2	33%	2.1	7.0	2.33	66.7	34:41	7.3	452	382	-12	38	-909
Poppy Poppy	3	11	8%	3	0	100%	7.0	7.9	3.67	0.0	33:14	6.8	305	389	-	-312	-
Ornn Ornn	1	6	4%	0	1	0%	1.0	7.2	4.00	0.0	29:54	7.5	178	330	-5	-86	-49
Maokai Maokai	7	4	4%	4	3	57%	3.4	7.5	4.00	33.3	33:12	6.8	553	387	-9	-26	-428
Jax Jax	1	5	3%	0	1	0%	2.0	8.0	3.00	0.0	42:51	6.5	494	347	12	501	1036
Sylas Sylas	1	4	3%	0	1	0%	1.3	7.8	5.00	0.0	31:22	7.5	262	352	-	-721	-
Nasus Nasus	2	3	2%	2	0	100%	-	3.7	4.00	50.0	27:01	7.7	787	526	-7.5	476	-268
Zaahen Zaahen	1	3	2%	0	1	0%	6.0	9.7	5.00	0.0	37:57	7.7	532	410	13	120	615
Nidalee Nidalee	3	2	2%	2	1	67%	4.4	6.0	3.33	33.3	36:25	7.5	848	461	-	258	-
Sejuani Sejuani	5	0	1%	3	2	60%	5.2	-	3.20	20.0	32:51	7.3	431	368	-1	-270	-261
RekSai RekSai	3	1	1%	1	2	33%	3.9	9.0	4.00	33.3	37:19	7.3	359	400	-5.5	395	-195
Shyvana Shyvana	2	1	1%	1	1	50%	3.8	10.0	4.00	0.0	33:52	8.6	370	420	26	752	1956
Aatrox Aatrox	3	0	1%	1	2	33%	2.0	-	3.33	0.0	30:49	7.3	425	368	15.3	383	1079
Dr. Mundo Dr. Mundo	1	0	0%	0	1	0%	1.2	-	5.00	100.0	34:31	7.9	506	402	6	90	-139
