Champion	# Games	Wins	Losses	Winrate	KDA	Avg Kills+Assists	Avg Kills involved	Total Game Kills	Team's FB%	Team's FD%	Team's FRH%	Team's FT%
Xin Zhao Xin Zhao	278	136	142	48.9	2.9	9.2	12.4	28.0	47.8	50.9	53.1	46.6
Jarvan IV Jarvan IV	252	125	127	49.6	4.0	12.4	15.4	29.0	53.2	59	55.1	50.2
Pantheon Pantheon	227	106	121	46.7	2.9	10.0	13.6	28.9	45.6	39.5	46.4	49.8
Vi Vi	187	107	80	57.2	3.2	10.5	13.8	29.5	41.7	47.4	43.2	48.4
Nocturne Nocturne	140	67	73	47.9	3.1	10.6	14.0	30.7	47.1	46.2	43.1	54
Wukong Wukong	130	53	77	40.8	2.8	9.1	12.4	28.9	46.2	55.1	50.5	45.4
Lee Sin Lee Sin	121	69	52	57.0	4.0	11.7	14.6	28.9	53.7	61.8	51.1	48.7
Naafiri Naafiri	120	60	60	50.0	3.7	10.4	13.2	28.5	61.7	42	49.4	47.5
Skarner Skarner	93	46	47	49.5	3.3	9.6	12.5	27.6	54.3	46.9	51.6	56
Trundle Trundle	72	44	28	61.1	4.7	11.4	13.9	28.2	58.3	63	43.2	62
Sejuani Sejuani	31	17	14	54.8	5.1	10.9	13.0	26.6	74.2	46.4	50	58.1
Maokai Maokai	25	11	14	44.0	2.9	9.9	13.2	28.4	40	46.2	46.2	36
Aatrox Aatrox	23	14	9	60.9	4.1	9.5	11.9	29.8	52.2	50	59.1	65.2
Dr. Mundo Dr. Mundo	22	10	12	45.5	4.3	9.3	11.4	28.4	59.1	63.2	44.4	54.5
Poppy Poppy	19	10	9	52.6	3.4	10.0	12.9	27.4	42.1	42.9	64.3	36.8
Ambessa Ambessa	17	4	13	23.5	2.1	6.9	10.3	26.2	52.9	26.7	60	41.2
Jayce Jayce	14	4	10	28.6	1.9	6.9	10.6	25.9	35.7	22.2	44.4	76.9
Zaahen Zaahen	13	5	8	38.5	4.1	10.0	12.5	26.9	53.8	33.3	66.7	53.8
Olaf Olaf	13	7	6	53.8	3.5	9.8	12.5	27.3	61.5	80	70	53.8
Shyvana Shyvana	7	4	3	57.1	4.1	9.9	12.3	27.1	28.6	50	50	28.6
Qiyana Qiyana	7	3	4	42.9	3.2	9.7	12.7	28.0	28.6	50	25	71.4
KhaZix KhaZix	6	4	2	66.7	4.8	13.7	16.5	31.5	66.7	66.7	66.7	50
Shen Shen	6	5	1	83.3	8.9	13.3	14.8	29.0	66.7	50	100	66.7
Malphite Malphite	5	3	2	60.0	3.1	9.8	13.0	27.0	60	0	100	40
Nidalee Nidalee	4	2	2	50.0	4.2	11.5	14.3	34.5	25	0	0	50
Nasus Nasus	4	4	0	100.0	62.0	15.5	15.8	27.8	50	25	50	75
RekSai RekSai	4	2	2	50.0	4.7	10.5	12.8	27.0	100	66.7	66.7	25
Jax Jax	3	2	1	66.7	3.6	10.7	13.7	29.7	33.3	33.3	66.7	66.7
Viego Viego	2	2	0	100.0	3.7	13.0	16.5	39.5	50	100	50	100
Zyra Zyra	2	0	2	0.0	1.4	6.5	11.0	25.0	0	100	0	50
Kindred Kindred	2	0	2	0.0	0.6	3.5	9.0	24.5	50	0	0	0
Talon Talon	1	0	1	0.0	4.0	8.0	10.0	31.0	100	0	0	0
Darius Darius	1	0	1	0.0	1.1	9.0	17.0	38.0	0	0	0	0
Sylas Sylas	1	0	1	0.0	1.3	4.0	7.0	21.0	0	-	-	100
Graves Graves	1	1	0	100.0	11.0	11.0	12.0	27.0	0	0	0	0
Brand Brand	1	1	0	100.0	1.5	9.0	15.0	36.0	0	100	0	100
Ornn Ornn	1	0	1	0.0	1.0	2.0	4.0	13.0	0	0	0	0
Rumble Rumble	1	0	1	0.0	1.7	5.0	8.0	20.0	100	0	100	0
