Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Orianna Orianna	26	148	74%	12	14	46%	4.0	2.7	1.69	87.5	32:19	8.8	622	393	0.2	-121	-206
Cassiopeia Cassiopeia	41	98	57%	17	24	41%	2.9	4.1	1.68	83.8	32:49	8.9	668	401	11.2	208	169
Akali Akali	24	62	34%	14	10	58%	2.9	5.8	2.08	9.1	32:54	8.7	571	412	-9.9	-92	112
Ryze Ryze	59	29	34%	30	29	51%	3.4	5.5	1.44	81.6	31:10	9.5	628	419	3.1	17	-21
Annie Annie	47	44	30%	21	26	45%	2.9	7.0	2.40	75.0	31:23	8.1	676	371	-2.1	-284	-216
Rumble Rumble	2	58	26%	1	1	50%	6.0	5.0	2.50	100.0	33:58	7.8	466	389	-23	209	84
Vayne Vayne	1	52	23%	1	0	100%	4.0	7.2	5.00	100.0	31:22	7.8	387	368	-	-1050	-
Twisted Fate Twisted Fate	25	33	20%	11	14	44%	3.4	6.6	2.56	57.9	33:49	8.8	569	435	-13.2	327	-211
Anivia Anivia	23	21	16%	13	10	57%	3.3	5.0	1.87	28.6	32:14	8.6	623	392	0.6	-10	95
Aurora Aurora	36	14	13%	18	18	50%	3.8	7.9	2.64	48.4	32:33	8.3	692	391	-1.3	-38	28
Ahri Ahri	37	12	13%	24	13	65%	5.8	8.7	2.57	48.4	30:53	9.0	683	433	6.8	174	187
Viktor Viktor	27	12	13%	17	10	63%	4.9	9.1	1.96	29.2	31:14	9.2	914	425	3	310	225
Jayce Jayce	1	27	12%	1	0	100%	4.7	7.1	4.00	100.0	34:21	9.0	1153	439	-	413	-
Sion Sion	1	24	11%	0	1	0%	1.0	7.5	2.00	0.0	30:47	8.7	259	367	-	-389	-
Taliyah Taliyah	24	13	11%	14	10	58%	3.8	8.9	2.71	13.6	32:00	9.0	658	400	-5.3	-277	-89
LeBlanc LeBlanc	6	16	9%	3	3	50%	3.9	8.0	1.83	0.0	31:18	8.6	626	402	0	657	468
Yone Yone	8	13	8%	4	4	50%	3.3	6.0	1.75	25.0	34:44	9.9	572	419	1.8	-190	121
Azir Azir	12	12	8%	3	9	25%	2.4	6.9	2.92	33.3	32:51	9.2	719	405	0	-25	-287
Mel Mel	9	14	8%	4	5	44%	3.5	8.2	3.11	0.0	33:34	8.8	855	426	9.5	177	-24
Renekton Renekton	1	14	6%	0	1	0%	1.4	8.3	4.00	100.0	41:15	8.0	427	350	-	368	-
Galio Galio	12	9	6%	6	6	50%	3.3	8.3	3.00	16.7	33:21	8.4	512	377	-8	-292	-76
Sylas Sylas	10	8	5%	4	6	40%	2.4	7.9	3.10	12.5	32:27	8.2	521	393	-12.7	-279	64
Malphite Malphite	1	3	1%	0	1	0%	2.0	8.0	5.00	0.0	31:22	7.4	561	352	-	1050	-
Smolder Smolder	1	3	1%	1	0	100%	-	3.0	5.00	0.0	37:53	10.5	836	495	-	-160	-
Hwei Hwei	3	2	1%	2	1	67%	4.4	9.0	3.00	0.0	32:20	8.4	816	390	14.5	-87	-328
Yasuo Yasuo	1	2	1%	0	1	0%	1.3	8.0	3.00	0.0	37:03	9.5	358	407	17	-276	-63
Syndra Syndra	1	1	1%	0	1	0%	1.0	8.0	1.00	0.0	37:02	9.0	574	371	-12	59	-92
Lissandra Lissandra	4	0	1%	2	2	50%	3.9	-	2.50	0.0	31:45	8.8	605	410	-6	288	139
KogMaw KogMaw	1	1	1%	0	1	0%	5.0	9.0	2.00	0.0	35:57	8.8	612	372	-10	-857	-401
Fizz Fizz	2	0	0%	1	1	50%	6.0	-	2.50	100.0	26:41	8.6	574	451	35	-13	1601
Zyra Zyra	1	0	0%	0	1	0%	1.0	-	2.00	0.0	28:11	9.2	614	342	-	-768	-
Tristana Tristana	2	0	0%	0	2	0%	0.7	-	4.50	50.0	28:30	9.8	249	393	-9	-22	-99
Brand Brand	1	0	0%	0	1	0%	1.2	-	4.00	100.0	26:06	7.3	842	325	-10	-1742	-1240
Swain Swain	1	0	0%	1	0	100%	17.0	-	5.00	100.0	34:31	8.3	972	401	5	-494	454
Vex Vex	1	0	0%	1	0	100%	14.0	-	5.00	0.0	32:15	8.8	620	433	9	-392	12
