Champion	# Games	Wins	Losses	Winrate	KDA	Avg Kills+Assists	Avg Kills involved	Total Game Kills	Team's FB%	Team's FD%	Team's FRH%	Team's FT%
Ryze Ryze	99	53	46	53.5	4.0	9.4	11.7	28.5	58.6	60.6	50	58.6
Azir Azir	65	31	34	47.7	2.8	9.1	12.3	32.2	46.2	43.1	42.6	44.6
Orianna Orianna	55	28	27	50.9	4.4	10.7	13.2	29.3	52.7	43.6	58.2	47.3
Aurora Aurora	55	23	32	41.8	3.7	9.9	12.5	30.6	43.6	41.8	39.6	40
Taliyah Taliyah	54	21	33	38.9	3.2	9.1	11.9	28.9	40.7	46.3	39.6	42.6
Annie Annie	52	30	22	57.7	3.3	10.2	13.2	29.3	61.5	48.1	56	53.8
Ahri Ahri	41	26	15	63.4	5.4	11.8	14.0	30.9	46.3	65.9	45	51.2
Anivia Anivia	32	18	14	56.3	3.8	9.4	11.8	29.4	53.1	37.5	53.1	43.8
Cassiopeia Cassiopeia	31	16	15	51.6	2.7	8.7	12.0	30.6	32.3	61.3	41.9	38.7
Akali Akali	30	11	19	36.7	2.6	8.4	11.7	31.4	46.7	46.7	63.3	60
Viktor Viktor	27	11	16	40.7	3.8	9.0	11.4	28.7	59.3	40.7	55.6	44.4
Twisted Fate Twisted Fate	20	11	9	55.0	3.6	9.3	11.9	28.6	45	50	55	60
Galio Galio	19	11	8	57.9	3.5	9.8	12.6	27.7	57.9	52.6	47.4	52.6
Yone Yone	18	9	9	50.0	2.8	8.1	11.1	29.8	44.4	38.9	44.4	61.1
Mel Mel	13	6	7	46.2	4.6	9.6	11.7	27.0	61.5	53.8	61.5	53.8
Syndra Syndra	12	5	7	41.7	2.8	8.6	11.7	30.3	33.3	33.3	75	33.3
Sylas Sylas	12	7	5	58.3	3.4	11.0	14.3	30.4	50	58.3	58.3	50
Zoe Zoe	11	8	3	72.7	4.0	11.0	13.7	30.7	63.6	81.8	70	54.5
LeBlanc LeBlanc	9	3	6	33.3	2.8	8.2	11.1	30.7	55.6	66.7	37.5	88.9
Hwei Hwei	5	3	2	60.0	3.9	14.2	17.8	40.0	40	80	40	40
Ziggs Ziggs	3	1	2	33.3	2.0	7.3	11.0	31.0	66.7	0	100	100
Tristana Tristana	2	1	1	50.0	2.5	5.0	7.0	21.5	50	50	50	50
Malzahar Malzahar	1	0	1	0.0	1.6	8.0	13.0	26.0	0	0	0	0
Smolder Smolder	1	0	1	0.0	2.0	12.0	18.0	45.0	100	0	0	0
Jayce Jayce	1	1	0	100.0	3.0	12.0	16.0	35.0	100	100	0	0
Ekko Ekko	1	1	0	100.0	-	10.0	10.0	21.0	100	0	100	100
KogMaw KogMaw	1	0	1	0.0	5.0	5.0	6.0	18.0	0	0	100	0
Rumble Rumble	1	1	0	100.0	9.0	18.0	20.0	33.0	0	100	100	100
Zyra Zyra	1	0	1	0.0	1.8	7.0	11.0	40.0	0	100	0	100
Lissandra Lissandra	1	1	0	100.0	3.7	11.0	14.0	28.0	0	100	100	100
Aurelion Sol Aurelion Sol	1	0	1	0.0	2.5	5.0	7.0	28.0	0	0	0	0
