Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Orianna Orianna	116	678	81%	66	50	57%	5.0	2.9	1.53	92.1	32:34	9.1	668	414	5.5	102	68
Ryze Ryze	255	261	49%	134	121	53%	3.6	5.1	1.44	81.3	32:09	9.5	645	424	0.2	-3	-73
Rumble Rumble	3	422	45%	2	1	67%	7.2	4.0	2.00	100.0	31:43	7.7	579	397	-7.5	173	4
Annie Annie	203	156	30%	103	100	51%	3.1	7.2	1.92	74.4	32:04	8.1	692	375	-1.9	-206	-174
Akali Akali	95	218	29%	51	44	54%	3.2	6.0	1.89	11.4	32:33	8.7	619	417	-3.8	40	152
Azir Azir	142	169	29%	56	86	39%	2.3	6.0	1.71	52.8	32:31	9.5	709	410	-0.2	-158	-146
Cassiopeia Cassiopeia	120	174	28%	63	57	53%	3.1	5.1	1.62	50.5	32:51	8.8	661	405	7.1	180	89
Aurora Aurora	176	92	22%	77	99	44%	3.5	8.2	1.86	59.9	32:04	8.7	711	396	-2.8	-69	-52
Anivia Anivia	85	124	19%	47	38	55%	4.3	6.0	1.68	23.9	33:48	8.8	645	402	0.9	-22	212
Jayce Jayce	4	174	19%	2	2	50%	2.4	7.0	3.00	66.7	29:24	9.2	936	433	10.7	570	395
Xin Zhao Xin Zhao	1	170	18%	0	1	0%	0.9	6.3	3.00	100.0	25:14	8.8	771	408	15	35	36
Vayne Vayne	2	161	17%	1	1	50%	1.2	7.9	3.50	100.0	31:32	8.2	508	377	28	-602	146
Twisted Fate Twisted Fate	69	91	14%	38	31	55%	3.7	7.1	2.13	48.1	31:38	8.9	579	450	-12.1	373	-267
Ahri Ahri	136	52	14%	80	56	59%	5.5	8.3	2.10	51.4	31:27	9.2	675	423	2.6	82	81
Sion Sion	2	119	13%	1	1	50%	3.3	7.3	2.50	0.0	30:52	8.6	340	383	-25	-557	-396
Viktor Viktor	105	43	11%	54	51	51%	3.4	8.9	2.06	38.8	32:58	9.0	880	402	4.8	77	105
LeBlanc LeBlanc	39	77	11%	16	23	41%	3.7	7.6	1.85	20.0	33:10	8.6	742	406	7.6	587	542
Renekton Renekton	1	80	8%	0	1	0%	1.4	7.9	4.00	100.0	41:15	8.0	427	350	-	368	-
Mel Mel	41	54	8%	15	26	37%	3.2	8.4	2.12	23.7	32:04	9.2	704	409	13.1	390	238
Galio Galio	43	46	7%	16	27	37%	2.6	8.4	2.23	10.8	33:13	8.2	474	367	-8.9	-315	8
Taliyah Taliyah	68	33	7%	32	36	47%	3.3	8.6	2.31	14.8	33:03	9.0	621	400	-5.5	-158	-102
KSante KSante	1	62	7%	1	0	100%	3.0	8.0	2.00	0.0	35:33	7.2	600	400	-7	-123	358
Ziggs Ziggs	9	57	7%	5	4	56%	3.3	6.3	1.89	14.3	32:37	9.1	930	428	-0.3	85	-387
Yone Yone	43	33	6%	25	18	58%	3.6	6.6	2.00	21.1	32:48	9.8	630	431	-3.8	-87	-1
Sylas Sylas	40	21	4%	16	24	40%	2.8	8.2	2.50	6.3	31:29	8.5	573	402	-7.6	-219	89
Syndra Syndra	13	15	2%	7	6	54%	2.9	8.3	2.08	27.3	34:39	9.1	705	408	2.5	400	223
Hwei Hwei	27	7	2%	15	12	56%	3.9	9.3	2.19	13.0	31:45	8.5	705	383	0.8	-175	12
Lissandra Lissandra	16	8	2%	10	6	63%	3.3	9.0	2.25	0.0	34:13	9.1	584	407	-0.1	-91	-58
Zoe Zoe	8	8	1%	3	5	38%	2.8	8.0	1.88	16.7	31:43	8.6	709	383	0.7	20	-308
Yasuo Yasuo	3	7	1%	2	1	67%	2.3	7.3	2.00	0.0	32:04	9.1	553	410	3.7	28	34
Malphite Malphite	1	8	1%	0	1	0%	2.0	8.6	5.00	0.0	31:22	7.4	561	352	-	1050	-
Irelia Irelia	2	4	1%	0	2	0%	0.8	9.5	2.00	0.0	37:18	9.4	473	399	-5.5	242	26
Smolder Smolder	2	4	0%	1	1	50%	4.0	3.5	4.00	0.0	34:10	10.4	752	441	14	-254	72
Aurelion Sol Aurelion Sol	3	2	0%	2	1	67%	5.3	9.5	2.00	0.0	37:19	9.2	888	436	-13.3	-148	-464
KogMaw KogMaw	1	3	0%	0	1	0%	5.0	9.3	2.00	0.0	35:57	8.8	612	372	-10	-857	-401
Tristana Tristana	3	2	0%	1	2	33%	1.5	8.0	4.00	33.3	28:47	10.2	374	415	3.5	328	238
Malzahar Malzahar	2	1	0%	0	2	0%	2.0	10.0	2.00	0.0	36:07	9.1	681	380	-	-224	-
Xerath Xerath	2	0	0%	1	1	50%	6.7	-	1.50	0.0	31:17	8.4	733	394	2	104	410
