Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Karma Karma	43	91	53%	21	22	49%	4.8	4.3	1.91	97.4	32:12	1.1	263	267	-1	85	206
Bard Bard	47	71	46%	29	18	62%	3.7	4.6	1.87	57.1	33:53	1.1	253	272	-1.7	-20	-61
Nautilus Nautilus	52	64	43%	23	29	44%	2.5	6.1	1.98	44.4	32:42	1.1	170	259	3.8	-58	22
Seraphine Seraphine	50	31	28%	32	18	64%	4.6	4.2	2.00	71.4	32:22	1.2	274	274	2.1	48	133
Rumble Rumble	1	58	26%	0	1	0%	1.4	5.0	3.00	100.0	27:33	1.3	639	263	-	174	-
Pantheon Pantheon	2	38	17%	0	2	0%	0.9	5.7	3.00	100.0	31:59	0.9	266	236	6	-218	-236
Milio Milio	45	6	17%	15	30	33%	4.5	4.0	1.69	58.5	30:18	0.9	144	250	-3.1	-87	-50
Lulu Lulu	39	18	16%	16	23	41%	4.4	7.3	2.59	35.3	31:39	1.0	189	262	1.5	-104	-28
Neeko Neeko	29	12	12%	14	15	48%	2.3	8.4	2.24	38.5	33:06	1.2	344	267	-1.3	-29	-325
Anivia Anivia	1	21	9%	0	1	0%	4.5	5.0	4.00	-	37:30	0.9	334	253	-12	428	574
Nami Nami	27	5	9%	14	13	52%	4.3	7.6	2.15	34.6	32:05	1.0	243	264	0.2	-110	70
Pyke Pyke	12	11	8%	7	5	58%	2.5	7.7	2.17	33.3	32:27	1.2	224	292	-4.8	94	-381
Skarner Skarner	7	12	7%	4	3	57%	2.8	6.3	2.00	20.0	32:53	1.1	353	289	-3.4	247	-305
Poppy Poppy	4	15	7%	3	1	75%	3.8	7.9	3.50	25.0	30:19	1.1	244	269	5.2	258	-356
LeBlanc LeBlanc	1	16	7%	1	0	100%	11.0	8.0	4.00	-	27:09	1.4	373	304	-4	272	-249
Shen Shen	3	13	6%	1	2	33%	2.1	7.5	3.33	33.3	33:08	1.3	116	264	8.7	-154	-229
Rakan Rakan	20	2	5%	13	7	65%	4.8	9.5	2.70	36.8	29:31	1.1	155	276	0.1	95	-93
Alistar Alistar	16	5	5%	9	7	56%	3.1	8.4	3.38	46.2	32:20	0.9	141	261	2.1	-136	22
Braum Braum	7	4	4%	4	3	57%	3.3	8.0	2.14	0.0	29:16	1.0	162	258	-3.5	-87	11
Camille Camille	5	6	4%	2	3	40%	1.5	7.5	2.80	33.3	36:04	1.1	268	269	-1.8	86	301
Lux Lux	10	2	3%	7	3	70%	5.8	10.0	2.50	33.3	32:40	1.3	313	276	-1.2	480	178
Rell Rell	10	0	2%	6	4	60%	2.5	-	2.40	22.2	30:44	1.2	163	263	1.1	-124	22
Yuumi Yuumi	4	4	2%	1	3	25%	3.3	7.8	3.50	33.3	30:24	0.7	254	254	-6.7	-58	727
Elise Elise	3	3	2%	1	2	33%	3.0	6.3	3.33	0.0	31:14	1.2	403	315	-5	590	-34
Leona Leona	4	1	2%	0	4	0%	1.6	10.0	2.25	0.0	33:23	1.1	136	232	-1.7	-102	-166
Renata Glasc Renata Glasc	2	2	1%	0	2	0%	1.1	7.5	5.00	100.0	32:57	1.4	190	248	6	-332	-301
Thresh Thresh	2	1	1%	1	1	50%	2.3	10.0	5.00	50.0	34:23	1.0	93	259	-	236	-
Blitzcrank Blitzcrank	1	1	1%	1	0	100%	5.0	10.0	5.00	0.0	32:19	0.9	171	254	-	-232	-
Tahm Kench Tahm Kench	2	0	0%	0	2	0%	1.1	-	2.00	0.0	30:20	0.9	165	232	-4	124	496
Morgana Morgana	1	0	0%	0	1	0%	2.0	-	4.00	-	35:04	0.9	211	250	-	771	-
Sona Sona	1	0	0%	0	1	0%	1.0	-	5.00	0.0	36:11	1.3	149	236	5	552	210
Soraka Soraka	1	0	0%	1	0	100%	5.0	-	5.00	0.0	37:57	1.0	182	275	1	436	326
