Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Karma Karma	169	466	63%	77	92	46%	3.9	3.9	1.56	87.8	33:10	1.0	265	265	-1.6	110	9
Nautilus Nautilus	149	389	51%	68	81	46%	2.5	5.1	1.88	31.9	32:32	1.1	173	257	3	-79	-82
Bard Bard	235	298	50%	134	101	57%	3.9	4.7	1.60	58.8	32:30	1.1	252	274	-1.2	6	-29
Rumble Rumble	2	422	45%	0	2	0%	0.8	4.0	2.00	50.0	25:40	1.4	493	248	0	-60	-639
Seraphine Seraphine	229	136	32%	129	100	56%	4.3	4.7	1.61	71.9	31:37	1.2	265	274	0.8	40	179
Pantheon Pantheon	2	258	27%	0	2	0%	0.9	4.8	3.00	100.0	31:59	0.9	266	236	6	-218	-236
Lulu Lulu	204	98	23%	88	116	43%	4.6	7.0	2.07	52.9	32:03	1.0	197	263	1.2	-48	118
Neeko Neeko	154	67	18%	71	83	46%	2.3	8.2	1.87	48.1	32:40	1.2	356	270	-0.7	40	-153
Nami Nami	169	55	18%	82	87	49%	4.3	7.4	1.80	34.0	32:36	0.9	251	264	-0.3	-110	9
Annie Annie	1	156	17%	1	0	100%	-	7.2	3.00	100.0	33:16	1.1	466	294	5	316	1361
Anivia Anivia	22	124	15%	7	15	32%	2.1	6.0	1.91	30.0	32:03	1.2	283	259	-2.5	181	29
Milio Milio	160	24	14%	77	83	48%	5.0	4.6	1.80	56.2	32:06	0.9	150	258	-2.1	-72	17
LeBlanc LeBlanc	1	77	8%	1	0	100%	11.0	7.6	4.00	-	27:09	1.4	373	304	-4	272	-249
Skarner Skarner	9	68	8%	5	4	56%	3.0	7.2	1.89	16.7	32:54	1.0	347	283	-6.6	236	-58
Rakan Rakan	77	21	7%	45	32	58%	4.7	8.8	2.18	36.9	32:35	1.1	167	270	2.4	19	-84
Alistar Alistar	63	26	6%	33	30	52%	3.0	8.1	2.30	30.9	32:22	0.9	133	257	0	-162	-55
Pyke Pyke	37	33	6%	21	16	57%	2.6	7.2	1.97	22.2	31:50	1.2	240	301	-3.5	120	-341
Mel Mel	1	54	6%	0	1	0%	0.5	8.4	2.00	0.0	22:37	1.0	225	242	-	-120	-
Poppy Poppy	10	50	6%	6	4	60%	3.0	7.6	2.90	25.0	31:41	1.1	228	269	6	64	40
Rell Rell	52	7	4%	26	26	50%	3.3	8.4	2.15	16.1	30:55	1.1	177	264	2.4	-90	-225
Shen Shen	10	21	3%	3	7	30%	2.1	7.5	2.70	22.2	31:11	1.4	152	261	8.4	-1	-23
Leona Leona	20	10	2%	7	13	35%	2.2	8.3	2.00	28.6	34:13	1.1	150	254	0.4	-123	-217
Braum Braum	14	9	2%	7	7	50%	3.0	8.4	2.00	0.0	31:44	0.9	164	257	-3.8	43	147
Elise Elise	14	8	2%	7	7	50%	3.0	7.4	2.07	8.3	33:31	1.2	381	293	1.7	289	-283
Yuumi Yuumi	14	9	2%	7	7	50%	5.8	7.9	2.29	18.2	33:46	0.6	291	269	-4.3	49	555
Renata Glasc Renata Glasc	15	9	2%	6	9	40%	3.5	8.3	2.40	27.3	34:28	1.1	201	260	-0.4	-197	151
Lux Lux	23	3	2%	18	5	78%	6.9	10.0	2.35	21.1	34:17	1.3	354	291	-0.4	473	364
Camille Camille	11	6	1%	6	5	55%	2.0	7.5	2.27	14.3	32:50	1.2	326	296	3.3	444	297
Blitzcrank Blitzcrank	4	6	1%	3	1	75%	3.4	8.3	3.50	33.3	32:47	0.9	181	258	2	-74	-249
Thresh Thresh	6	1	0%	4	2	67%	4.6	10.0	3.00	33.3	34:35	1.1	119	263	4	191	353
Soraka Soraka	5	0	0%	3	2	60%	5.5	-	2.40	0.0	34:40	0.9	176	257	-3.2	61	53
Amumu Amumu	3	0	0%	2	1	67%	1.9	-	2.00	0.0	33:00	1.1	220	266	2.7	-166	-265
Morgana Morgana	2	1	0%	1	1	50%	4.8	8.0	3.00	0.0	39:28	0.8	232	261	-8	872	443
Gragas Gragas	1	1	0%	0	1	0%	0.8	10.0	3.00	100.0	35:34	0.8	121	237	-	-334	-
Tahm Kench Tahm Kench	2	0	0%	0	2	0%	1.1	-	2.00	0.0	30:20	0.9	165	232	-4	124	496
Janna Janna	2	0	0%	1	1	50%	2.8	-	3.00	-	38:11	0.9	117	251	-3.5	176	-924
VelKoz VelKoz	1	0	0%	1	0	100%	5.0	-	2.00	-	37:16	1.1	591	270	-8	-142	96
Sona Sona	1	0	0%	0	1	0%	1.0	-	5.00	0.0	36:11	1.3	149	236	5	552	210
