Champion	# Games	Wins	Losses	Winrate	KDA	Avg Kills+Assists	Avg Kills involved	Total Game Kills	Team's FB%	Team's FD%	Team's FRH%	Team's FT%
Sion Sion	56	30	26	53.6	3.7	8.2	10.4	27.9	48.2	59.5	48.8	34.5
Rumble Rumble	55	30	25	54.5	2.5	8.2	11.5	28.2	50.9	40.9	41.5	40.7
KSante KSante	40	20	20	50.0	3.5	7.5	9.7	29.8	52.5	51.7	51.9	46.2
Gnar Gnar	37	24	13	64.9	3.0	7.1	9.4	26.3	37.8	58.1	71	64.9
Jayce Jayce	35	17	18	48.6	2.6	8.5	11.8	31.9	51.4	68	41.7	50
Renekton Renekton	34	10	24	29.4	1.6	5.5	9.0	27.9	58.8	47.8	47.8	47.1
Ambessa Ambessa	29	9	20	31.0	2.1	6.4	9.5	27.9	34.5	33.3	61.1	55.2
Yorick Yorick	22	9	13	40.9	1.6	5.4	8.8	29.1	27.3	31.2	40	42.9
Zaahen Zaahen	16	11	5	68.8	3.4	7.9	10.3	30.8	56.2	60	33.3	56.2
Jax Jax	11	6	5	54.5	3.1	8.8	11.6	29.8	54.5	62.5	75	36.4
Shen Shen	11	8	3	72.7	4.7	11.5	13.9	25.3	63.6	40	60	54.5
Olaf Olaf	10	6	4	60.0	2.4	9.5	13.5	32.3	60	33.3	33.3	50
Vayne Vayne	9	6	3	66.7	4.4	9.3	11.4	24.6	66.7	60	40	55.6
Ornn Ornn	8	5	3	62.5	4.7	10.5	12.8	29.9	62.5	80	60	87.5
Twisted Fate Twisted Fate	7	3	4	42.9	2.3	7.3	10.4	26.0	85.7	40	60	85.7
Galio Galio	6	3	3	50.0	3.2	8.5	11.2	27.0	50	80	60	60
Varus Varus	6	2	4	33.3	1.2	7.0	12.7	34.2	66.7	60	60	33.3
Anivia Anivia	5	3	2	60.0	3.4	6.2	8.0	20.4	60	60	40	80
Gwen Gwen	5	4	1	80.0	5.8	13.8	16.2	38.2	40	20	60	60
Yone Yone	4	3	1	75.0	3.3	10.0	13.0	28.8	25	50	25	75
Malphite Malphite	4	3	1	75.0	3.0	9.0	12.0	32.0	50	75	25	50
Gragas Gragas	3	2	1	66.7	1.9	6.3	9.7	26.7	33.3	33.3	33.3	33.3
Aurora Aurora	3	1	2	33.3	2.8	7.3	10.0	26.0	66.7	33.3	0	66.7
Kled Kled	3	2	1	66.7	3.3	6.7	8.7	23.3	33.3	33.3	33.3	66.7
RekSai RekSai	3	0	3	0.0	1.9	7.0	10.7	32.0	100	100	0	33.3
Akali Akali	3	0	3	0.0	1.8	8.0	12.3	30.0	66.7	0	100	33.3
Aatrox Aatrox	3	1	2	33.3	1.4	4.3	7.3	19.0	0	0	0	33.3
Tristana Tristana	3	0	3	0.0	1.3	5.0	9.0	24.0	66.7	50	50	66.7
Illaoi Illaoi	2	1	1	50.0	0.8	3.5	8.0	28.5	50	50	50	50
Cassiopeia Cassiopeia	2	1	1	50.0	2.2	5.5	8.0	25.5	100	50	100	50
Poppy Poppy	2	1	1	50.0	3.7	5.5	7.0	18.0	0	0	0	100
Kennen Kennen	2	1	1	50.0	3.8	7.5	9.5	25.0	50	0	100	0
Nidalee Nidalee	1	0	1	0.0	0.5	2.0	6.0	23.0	100	100	100	0
Riven Riven	1	0	1	0.0	1.4	7.0	12.0	34.0	100	0	100	0
Annie Annie	1	0	1	0.0	0.6	4.0	11.0	30.0	0	100	0	100
Volibear Volibear	1	1	0	100.0	12.0	12.0	13.0	32.0	100	100	100	100
Yasuo Yasuo	1	0	1	0.0	2.3	7.0	10.0	35.0	100	0	100	100
Naafiri Naafiri	1	1	0	100.0	1.1	8.0	15.0	41.0	0	100	0	0
Quinn Quinn	1	1	0	100.0	3.7	11.0	14.0	28.0	0	0	100	100
Maokai Maokai	1	0	1	0.0	0.9	7.0	15.0	41.0	100	0	0	0
Xin Zhao Xin Zhao	1	0	1	0.0	2.5	10.0	14.0	48.0	100	0	0	100
Fiora Fiora	1	0	1	0.0	1.0	3.0	6.0	36.0	0	-	-	100
Tryndamere Tryndamere	1	0	1	0.0	1.0	5.0	10.0	30.0	0	-	-	100
Gangplank Gangplank	1	0	1	0.0	1.6	8.0	13.0	37.0	100	-	-	100
Sett Sett	1	1	0	100.0	10.0	10.0	11.0	19.0	0	0	0	100
