Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Varus Varus	5	119	77%	2	3	40%	1.2	2.3	2.60	100.0	32:11	8.3	457	366	4.5	-131	-310
Cassiopeia Cassiopeia	1	76	49%	0	1	0%	2.0	4.2	1.00	0.0	44:15	8.9	504	372	37	523	228
Rumble Rumble	40	40	46%	23	17	58%	2.6	5.1	1.40	94.7	31:49	8.2	695	382	-2.6	-50	-197
Akali Akali	3	45	29%	0	3	0%	1.8	6.4	4.00	0.0	41:05	8.5	667	386	19	385	472
Sion Sion	38	16	27%	22	16	58%	4.1	7.5	1.68	55.6	31:25	8.0	524	355	-9.1	-409	-271
Vayne Vayne	8	38	27%	5	3	63%	4.5	7.2	2.25	12.5	31:31	8.3	594	409	5	134	-53
Gnar Gnar	22	26	25%	15	7	68%	3.3	8.2	2.32	57.1	32:01	8.9	635	407	-0.1	-2	10
Jayce Jayce	24	24	23%	11	13	46%	2.9	7.0	2.17	100.0	31:53	8.9	805	423	13.4	655	399
KSante KSante	27	14	20%	15	12	56%	3.7	8.3	2.07	23.1	33:01	8.4	415	378	8.1	-355	387
Ambessa Ambessa	21	16	17%	6	15	29%	1.9	7.0	2.52	25.0	30:51	8.7	609	390	3.8	83	304
Annie Annie	1	26	17%	0	1	0%	0.6	6.9	3.00	0.0	37:03	6.3	431	324	2	24	-619
Naafiri Naafiri	1	26	17%	1	0	100%	1.1	6.2	3.00	0.0	38:25	8.3	440	411	-48	-921	-2125
Twisted Fate Twisted Fate	7	23	17%	3	4	43%	2.3	6.4	2.57	42.9	29:27	8.8	453	468	10.2	1256	339
Anivia Anivia	4	17	13%	2	2	50%	2.6	4.6	1.50	75.0	33:28	8.1	521	346	0	7	200
Renekton Renekton	25	9	12%	9	16	36%	1.9	7.8	2.68	91.3	33:03	8.6	555	379	7.4	240	240
Olaf Olaf	8	16	12%	4	4	50%	2.1	8.2	2.75	37.5	34:26	8.4	503	407	-11	-352	-696
Yorick Yorick	16	9	11%	5	11	31%	1.3	9.3	2.38	12.5	29:52	8.9	584	396	-6.7	5	-125
Yone Yone	3	11	9%	2	1	67%	2.3	5.6	1.33	33.3	35:42	9.4	711	430	-9	235	-222
Shen Shen	9	7	8%	6	3	67%	4.5	7.1	1.89	0.0	35:24	8.2	575	378	-16.3	-408	-412
Poppy Poppy	2	11	7%	1	1	50%	3.7	7.9	4.50	0.0	36:46	8.0	441	328	-5	-268	-56
Aurora Aurora	2	9	7%	1	1	50%	3.8	7.7	1.50	0.0	35:01	9.1	562	379	16	281	176
Galio Galio	6	6	7%	3	3	50%	3.2	8.7	1.67	0.0	30:54	8.5	430	362	-8	-229	-269
Ornn Ornn	5	6	5%	2	3	40%	3.1	7.2	2.60	20.0	35:56	6.3	373	315	-29	-1100	-497
Zaahen Zaahen	10	3	5%	7	3	70%	3.8	9.7	2.80	11.1	33:12	9.1	650	435	5.5	291	-68
Jax Jax	6	5	4%	4	2	67%	4.3	8.0	3.33	66.7	37:13	8.5	544	388	0.3	142	615
Gwen Gwen	1	3	2%	0	1	0%	1.3	9.3	2.00	0.0	29:47	8.5	807	367	6	96	132
Malphite Malphite	2	2	2%	2	0	100%	2.4	7.5	4.00	0.0	34:28	6.6	483	331	-28	-798	-50
Yasuo Yasuo	1	2	2%	0	1	0%	2.3	8.0	2.00	0.0	32:44	8.7	382	416	9	601	338
Nidalee Nidalee	1	2	1%	0	1	0%	0.5	6.0	5.00	100.0	26:18	7.3	779	335	10	339	169
RekSai RekSai	2	1	1%	0	2	0%	1.7	9.0	2.50	0.0	30:49	8.5	616	364	-	-925	-
Gragas Gragas	2	1	1%	1	1	50%	1.6	10.0	3.00	50.0	28:30	8.3	647	372	2	234	75
Kled Kled	3	0	1%	2	1	67%	3.3	-	3.67	0.0	26:23	8.8	771	408	-12.7	-46	-540
Aatrox Aatrox	2	0	0%	1	1	50%	1.6	-	3.50	50.0	33:51	8.3	234	343	-	-627	-
Kennen Kennen	2	0	0%	1	1	50%	3.8	-	3.50	50.0	31:49	8.4	574	389	5	158	975
Gangplank Gangplank	1	0	0%	0	1	0%	1.6	-	2.00	-	34:06	8.0	739	415	-	1576	-
Tristana Tristana	1	0	0%	0	1	0%	1.6	-	2.00	0.0	44:23	8.5	604	414	-	1288	-
Tryndamere Tryndamere	1	0	0%	0	1	0%	1.0	-	3.00	-	30:12	8.7	609	426	-	1555	-
Illaoi Illaoi	1	0	0%	1	0	100%	1.5	-	3.00	0.0	30:08	10.0	724	410	-4	-356	-232
Fiora Fiora	1	0	0%	0	1	0%	1.0	-	4.00	0.0	31:18	10.7	508	451	-	1131	-
Quinn Quinn	1	0	0%	1	0	100%	3.7	-	4.00	0.0	30:49	9.7	807	451	12	286	0
