Champion	# Games	Wins	Losses	Winrate	KDA	Avg Kills+Assists	Avg Kills involved	Total Game Kills	Team's FB%	Team's FD%	Team's FRH%	Team's FT%
Gnar Gnar	214	122	92	57.0	2.6	7.2	9.9	28.4	56.1	55	63.1	58.9
Rumble Rumble	213	110	103	51.6	2.8	8.2	11.1	28.1	47.6	48.2	47.8	49.3
Sion Sion	203	100	103	49.3	3.4	8.0	10.4	29.0	49.3	55.1	51.4	38.8
Jayce Jayce	176	77	99	43.8	2.2	7.4	10.9	29.8	54.5	52	46.2	57.7
Renekton Renekton	166	78	88	47.0	2.1	6.2	9.1	28.3	45.8	48.5	50.4	49.4
KSante KSante	163	73	90	44.8	2.5	6.8	9.5	28.4	52.5	52.8	53	47.8
Ambessa Ambessa	138	57	81	41.3	2.2	6.5	9.5	28.2	40.6	46.1	48.3	41.9
Yorick Yorick	89	43	46	48.3	2.1	6.1	9.0	28.6	38.2	47.5	40.7	46.6
Vayne Vayne	50	32	18	64.0	3.0	8.7	11.6	28.7	42	42.9	54.3	55.1
Ornn Ornn	42	29	13	69.0	5.9	9.1	10.7	26.9	69	61.5	46.2	42.9
Zaahen Zaahen	41	23	18	56.1	2.8	6.7	9.0	29.5	53.7	48.5	34.4	56.1
Jax Jax	36	21	15	58.3	3.2	8.5	11.2	30.3	61.1	55.6	69.2	50
Varus Varus	31	15	16	48.4	2.0	7.6	11.4	29.2	61.3	60	60.9	41.9
Anivia Anivia	29	12	17	41.4	2.4	6.9	9.9	28.7	48.3	37.5	45.5	55.2
Gwen Gwen	28	14	14	50.0	2.7	8.3	11.4	31.3	60.7	36.4	40.9	57.1
Shen Shen	27	19	8	70.4	5.2	11.3	13.5	25.6	55.6	33.3	61.1	40.7
Aurora Aurora	24	5	19	20.8	1.8	6.5	10.0	31.6	50	40	31.6	33.3
Olaf Olaf	17	11	6	64.7	2.6	9.0	12.5	30.7	52.9	54.5	45.5	58.8
Twisted Fate Twisted Fate	15	8	7	53.3	2.1	6.7	9.9	26.6	66.7	45.5	36.4	73.3
Galio Galio	13	6	7	46.2	3.3	7.8	10.2	26.3	46.2	60	50	41.7
Gragas Gragas	12	6	6	50.0	2.3	6.7	9.6	28.3	25	37.5	50	41.7
Kennen Kennen	11	4	7	36.4	1.5	6.1	10.3	29.3	54.5	27.3	63.6	45.5
Malphite Malphite	10	8	2	80.0	2.7	7.7	10.6	28.8	50	70	40	60
Aatrox Aatrox	9	4	5	44.4	2.2	4.8	7.0	21.1	33.3	16.7	16.7	44.4
Tristana Tristana	7	3	4	42.9	1.9	7.0	10.7	28.0	57.1	60	60	71.4
RekSai RekSai	7	3	4	42.9	2.6	7.4	10.3	32.0	71.4	100	33.3	28.6
Irelia Irelia	6	4	2	66.7	1.3	7.3	12.8	37.3	33.3	100	33.3	83.3
Sylas Sylas	6	2	4	33.3	2.4	6.8	9.7	23.7	50	16.7	16.7	0
Kled Kled	5	4	1	80.0	5.4	7.6	9.0	21.8	40	60	40	80
Yone Yone	5	4	1	80.0	3.9	10.8	13.6	31.0	20	40	40	80
Shyvana Shyvana	5	2	3	40.0	2.0	9.0	13.6	35.4	40	20	25	40
Naafiri Naafiri	5	4	1	80.0	2.0	9.2	13.8	34.4	40	50	25	60
Akali Akali	5	0	5	0.0	1.7	6.6	10.6	28.2	60	0	75	20
Illaoi Illaoi	4	3	1	75.0	1.3	4.3	7.5	28.0	50	25	75	75
