Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	BP%	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Varus Varus	31	677	73%	15	16	48%	2.0	2.7	1.97	76.9	32:48	8.3	612	395	16.7	501	222
Rumble Rumble	219	422	63%	113	106	52%	2.8	4.0	1.44	95.7	32:45	8.2	739	392	-2	109	-118
Jayce Jayce	182	174	32%	78	104	43%	2.1	7.0	1.73	89.9	31:52	9.0	742	409	8.1	359	-88
Sion Sion	209	119	28%	102	107	49%	3.3	7.3	1.70	47.7	32:20	7.9	532	352	-6.1	-356	-113
Gnar Gnar	219	131	28%	124	95	57%	2.6	8.4	1.95	63.5	32:01	8.9	637	404	2.4	126	136
Ryze Ryze	2	261	28%	0	2	0%	0.9	5.1	2.50	50.0	35:39	9.2	402	372	7	-82	-464
Ambessa Ambessa	139	151	26%	58	81	42%	2.2	6.3	1.81	38.6	31:41	8.6	596	387	-1.9	-124	61
Akali Akali	5	218	23%	0	5	0%	1.7	6.0	2.80	0.0	38:10	8.7	583	388	16.5	453	439
Vayne Vayne	51	161	20%	33	18	65%	3.0	7.9	2.00	2.4	32:00	8.2	654	405	8.8	266	149
KSante KSante	167	62	19%	74	93	44%	2.5	8.0	1.75	19.0	33:04	8.2	414	366	1.7	-198	186
Renekton Renekton	166	80	19%	78	88	47%	2.1	7.9	2.04	87.2	32:44	8.8	538	384	3.8	149	101
Cassiopeia Cassiopeia	3	174	19%	1	2	33%	2.1	5.1	1.33	33.3	37:45	8.3	649	372	3.3	-435	-790
Xin Zhao Xin Zhao	1	170	18%	0	1	0%	2.5	6.3	2.00	-	29:31	9.1	843	433	23	525	1018
Annie Annie	2	156	17%	1	1	50%	1.0	7.2	2.50	0.0	34:34	6.1	501	312	-9.5	-706	-920
Anivia Anivia	29	124	15%	12	17	41%	2.4	6.0	1.69	46.2	34:03	8.1	601	368	0.6	133	157
Yorick Yorick	93	81	15%	47	46	51%	2.2	8.2	1.92	10.8	31:08	9.0	611	407	-6.3	-292	45
Lee Sin Lee Sin	1	123	13%	1	0	100%	2.5	5.8	2.00	0.0	32:41	6.3	511	364	-	176	-
Aurora Aurora	24	92	12%	5	19	21%	1.8	8.2	1.71	35.0	34:42	8.2	722	373	6.2	241	-6
Naafiri Naafiri	5	103	11%	4	1	80%	2.0	7.1	2.80	0.0	33:49	7.8	636	412	-22.5	-539	-946
Twisted Fate Twisted Fate	15	91	10%	8	7	53%	2.1	7.1	2.13	21.4	32:23	8.8	497	455	3.7	830	-34
Wukong Wukong	1	78	8%	1	0	100%	3.5	7.9	1.00	0.0	39:41	6.8	386	338	-	-631	-
Gwen Gwen	30	58	8%	16	14	53%	2.8	8.9	2.03	3.8	33:14	8.6	782	404	2.7	44	-66
Skarner Skarner	1	68	7%	0	1	0%	0.7	7.2	3.00	-	23:45	7.4	634	304	-11	-360	259
Ornn Ornn	43	29	6%	30	13	70%	5.9	8.1	1.67	5.6	32:15	7.6	421	347	-10.8	-720	-207
Galio Galio	13	46	6%	6	7	46%	3.3	8.4	1.69	0.0	30:54	8.2	423	350	-8.9	-290	-256
Poppy Poppy	3	50	5%	2	1	67%	5.7	7.6	3.67	0.0	34:28	8.4	505	367	-12.5	-375	-224
Olaf Olaf	17	36	5%	11	6	65%	2.6	7.7	2.59	23.5	33:29	8.4	547	412	-12.4	-247	-577
Jax Jax	36	27	5%	21	15	58%	3.2	8.6	2.61	41.4	34:21	8.4	610	403	-3.3	152	22
Shen Shen	27	21	4%	19	8	70%	5.2	7.5	1.96	5.3	33:09	8.4	595	399	-17.6	-417	-334
Yone Yone	5	33	4%	4	1	80%	3.9	6.6	1.40	25.0	34:26	9.5	853	458	3.4	648	162
Zaahen Zaahen	41	12	4%	23	18	56%	2.8	8.0	2.34	2.7	32:22	8.8	651	400	-6.1	-44	-119
Dr. Mundo Dr. Mundo	1	27	3%	0	1	0%	7.0	5.8	2.00	-	31:03	8.4	788	386	-4	-228	-462
Sylas Sylas	7	21	3%	3	4	43%	2.8	8.2	2.00	0.0	29:50	8.4	522	395	-4.4	-137	-125
Aatrox Aatrox	9	21	3%	4	5	44%	2.2	6.3	3.11	16.7	31:51	8.4	529	370	-1.3	-160	494
Kennen Kennen	11	10	2%	4	7	36%	1.5	8.5	2.55	20.0	32:53	8.5	633	380	8	131	-67
Malphite Malphite	11	8	1%	8	3	73%	2.5	8.6	2.64	16.7	32:14	7.7	541	362	-6.5	-109	72
Maokai Maokai	1	9	1%	0	1	0%	0.9	7.2	3.00	-	33:19	6.8	470	357	-27	-772	-1850
Shyvana Shyvana	5	6	1%	2	3	40%	2.0	8.3	2.00	100.0	32:55	8.0	729	375	-17.4	-845	-731
Yasuo Yasuo	3	7	1%	2	1	67%	3.4	7.3	1.67	0.0	35:48	9.8	380	434	3	372	-130
Irelia Irelia	6	4	1%	4	2	67%	1.3	9.5	1.83	0.0	34:17	9.6	549	449	22.5	942	465
Gragas Gragas	12	1	1%	6	6	50%	2.3	10.0	2.33	9.1	31:17	7.8	516	366	-12.4	-376	-118
Camille Camille	1	6	1%	1	0	100%	14.0	7.5	3.00	100.0	30:30	9.3	760	471	-7	134	-56
RekSai RekSai	7	3	1%	3	4	43%	2.6	8.7	2.43	0.0	33:42	8.7	696	396	13.3	105	944
Tristana Tristana	7	2	1%	3	4	43%	1.9	8.0	2.14	0.0	30:19	8.9	583	410	21.6	977	1028
Zeri Zeri	1	5	1%	0	1	0%	1.0	8.6	3.00	-	34:37	9.4	528	432	-16	-582	-1453
Sejuani Sejuani	2	4	1%	1	1	50%	3.5	6.8	2.50	-	30:14	7.7	644	357	-25	-1440	-732
Smolder Smolder	1	4	0%	1	0	100%	3.3	3.5	2.00	-	28:24	7.2	929	389	2	-15	-389
Nidalee Nidalee	3	3	0%	2	1	67%	3.1	6.7	3.33	50.0	28:46	8.2	891	415	16.5	890	406
