Champion	Ban %	Total	First Pick (FP)	Second Pick (SP)	P1 Total	P1 FP	P1 SP	P2 Total	P2 FP	P2 SP
Varus Varus	90.5	19	12	7	19	12	7	0	0	0
Lee Sin Lee Sin	57.1	12	6	6	12	6	6	0	0	0
Cassiopeia Cassiopeia	52.4	11	2	9	11	2	9	0	0	0
Karma Karma	47.6	10	3	7	9	3	6	1	0	1
Nocturne Nocturne	42.9	9	5	4	9	5	4	0	0	0
Ambessa Ambessa	33.3	7	4	3	5	3	2	2	1	1
Annie Annie	28.6	6	3	3	4	2	2	2	1	1
Caitlyn Caitlyn	28.6	6	2	4	4	1	3	2	1	1
Jarvan IV Jarvan IV	28.6	6	2	4	5	2	3	1	0	1
Yorick Yorick	28.6	6	4	2	2	2	0	4	2	2
Bard Bard	28.6	6	4	2	5	3	2	1	1	0
Vayne Vayne	23.8	5	4	1	2	2	0	3	2	1
Seraphine Seraphine	23.8	5	3	2	4	2	2	1	1	0
Akali Akali	19	4	3	1	2	2	0	2	1	1
Anivia Anivia	19	4	2	2	2	0	2	2	2	0
Ezreal Ezreal	19	4	1	3	2	0	2	2	1	1
Nautilus Nautilus	19	4	1	3	1	1	0	3	0	3
Trundle Trundle	19	4	2	2	1	1	0	3	1	2
Twisted Fate Twisted Fate	19	4	1	3	1	1	0	3	0	3
Xin Zhao Xin Zhao	19	4	2	2	1	0	1	3	2	1
Neeko Neeko	19	4	2	2	2	1	1	2	1	1
Yone Yone	19	4	4	0	4	4	0	0	0	0
Jayce Jayce	14.3	3	1	2	1	0	1	2	1	1
Lulu Lulu	14.3	3	2	1	1	0	1	2	2	0
Nasus Nasus	14.3	3	1	2	2	1	1	1	0	1
Olaf Olaf	14.3	3	0	3	1	0	1	2	0	2
Orianna Orianna	14.3	3	1	2	3	1	2	0	0	0
Shen Shen	14.3	3	1	2	0	0	0	3	1	2
Ornn Ornn	14.3	3	1	2	3	1	2	0	0	0
KSante KSante	14.3	3	2	1	0	0	0	3	2	1
Ashe Ashe	9.5	2	2	0	1	1	0	1	1	0
Blitzcrank Blitzcrank	9.5	2	0	2	1	0	1	1	0	1
Dr. Mundo Dr. Mundo	9.5	2	1	1	1	1	0	1	0	1
Galio Galio	9.5	2	1	1	0	0	0	2	1	1
Pantheon Pantheon	9.5	2	1	1	0	0	0	2	1	1
Rumble Rumble	9.5	2	1	1	2	1	1	0	0	0
Sion Sion	9.5	2	0	2	0	0	0	2	0	2
Vi Vi	9.5	2	1	1	0	0	0	2	1	1
Ziggs Ziggs	9.5	2	1	1	0	0	0	2	1	1
Sylas Sylas	9.5	2	2	0	0	0	0	2	2	0
Yuumi Yuumi	9.5	2	2	0	0	0	0	2	2	0
Naafiri Naafiri	9.5	2	1	1	1	1	0	1	0	1
Aurora Aurora	9.5	2	1	1	0	0	0	2	1	1
