Champion 1	Champion 2	# Games	Winrate	Duo GD@15	Duo CSD@15
 Caitlyn ADC	 Lux SUPPORT	23	78.3	1496.9	22.9
 Xayah ADC	 Rakan SUPPORT	32	71.9	491	7.5
 Caitlyn ADC	 Bard SUPPORT	74	60.8	-6.4	0.8
 Ashe ADC	 Seraphine SUPPORT	173	60.7	-21.3	0
 Lucian ADC	 Nami SUPPORT	22	59.1	-31	-4.5
 Ezreal ADC	 Bard SUPPORT	50	56.0	50.6	-3.8
 Ezreal ADC	 Nami SUPPORT	24	54.2	-528.9	-1
 Ezreal ADC	 Seraphine SUPPORT	24	54.2	-147.5	-6
 Ashe ADC	 Lulu SUPPORT	28	53.6	21.3	2.8
 Sivir ADC	 Karma SUPPORT	31	51.6	421.9	-0.5
 Jhin ADC	 Bard SUPPORT	42	50	-65.8	-3.4
 Lucian ADC	 Milio SUPPORT	143	46.9	-76	-2.4
 Jhin ADC	 Karma SUPPORT	49	44.9	632.3	5.2
 Miss Fortune ADC	 Nautilus SUPPORT	29	44.8	-49.9	5.3
 Corki ADC	 Nami SUPPORT	112	44.6	-506.5	-0.9
 Ezreal ADC	 Karma SUPPORT	41	43.9	327.9	6.4
 Ezreal ADC	 Neeko SUPPORT	64	40.6	-240.8	-1
 Caitlyn ADC	 Karma SUPPORT	25	40.0	212.4	3
 Yunara ADC	 Lulu SUPPORT	138	37.0	-91.6	-6.6
