Champion 1	Champion 2	# Games	Winrate	Duo GD@15	Duo CSD@15
 Ahri MID	 Jayce TOP	10	90.0	1104.8	16
 Sivir ADC	 Lulu SUPPORT	10	90.0	964.7	5.5
 Sivir ADC	 Annie MID	10	90.0	670.3	5.2
 Lee Sin JUNGLE	 Gnar TOP	15	86.7	734.5	18.9
 Seraphine SUPPORT	 Yorick TOP	14	85.7	-204.2	-5.5
 Varus ADC	 Ahri MID	12	83.3	1138.4	23.6
 Ashe ADC	 Viktor MID	12	83.3	354.1	9.1
 Sivir ADC	 Bard SUPPORT	17	82.4	496.5	-1.1
 Annie MID	 Vayne TOP	11	81.8	599.7	20.7
 Viktor MID	 Bard SUPPORT	16	81.3	580.7	10.2
 Pantheon JUNGLE	 Annie MID	20	80.0	390	5.8
 Caitlyn ADC	 Vi JUNGLE	15	80.0	858.5	24.1
 Ezreal ADC	 Skarner JUNGLE	15	80.0	-11.3	3.8
 Caitlyn ADC	 Lee Sin JUNGLE	10	80.0	537.5	18.8
 Vi JUNGLE	 Gnar TOP	19	78.9	80.2	3
 Caitlyn ADC	 Lux SUPPORT	23	78.3	1496.9	22.9
 Naafiri JUNGLE	 Bard SUPPORT	18	77.8	380.2	-4.5
 Viktor MID	 Seraphine SUPPORT	13	76.9	38.5	6.5
 Trundle JUNGLE	 Karma SUPPORT	13	76.9	233	-3.9
 Anivia MID	 Sion TOP	17	76.5	33.1	-0.8
 Ashe ADC	 Yorick TOP	17	76.5	-638.8	-7.1
 Pantheon JUNGLE	 Seraphine SUPPORT	28	75.0	-59.5	-5.5
 Vi JUNGLE	 Ryze MID	16	75.0	236.9	5.2
 Bard SUPPORT	 KSante TOP	16	75.0	-13.3	10.4
 Akali MID	 Neeko SUPPORT	12	75.0	993.2	8.2
 Vi JUNGLE	 Jayce TOP	19	73.7	248.4	13.6
 Caitlyn ADC	 Gnar TOP	19	73.7	561.1	17.1
 Caitlyn ADC	 Rumble TOP	22	72.7	736.3	10.5
 Caitlyn ADC	 Annie MID	11	72.7	198.5	2.9
 Orianna MID	 Rumble TOP	11	72.7	196.6	-8.2
 Jarvan IV JUNGLE	 Twisted Fate MID	11	72.7	250.7	-10.3
 Ashe ADC	 Trundle JUNGLE	11	72.7	403.9	1.1
