Champion 1	Champion 2	# Games	Winrate	Duo GD@15	Duo CSD@15
 Pantheon JUNGLE	 Annie MID	20	80.0	390	5.8
 Caitlyn ADC	 Lux SUPPORT	23	78.3	1496.9	22.9
 Pantheon JUNGLE	 Seraphine SUPPORT	28	75.0	-59.5	-5.5
 Caitlyn ADC	 Rumble TOP	22	72.7	736.3	10.5
 Ashe ADC	 Pantheon JUNGLE	25	72.0	36	-2.9
 Bard SUPPORT	 Gnar TOP	25	72.0	475.1	1.9
 Xayah ADC	 Rakan SUPPORT	32	71.9	491	7.5
 Corki ADC	 Renekton TOP	21	71.4	285.7	12.9
 Ashe ADC	 Rumble TOP	21	71.4	47.2	-2.9
 Annie MID	 Gnar TOP	34	70.6	-459.6	-1.6
 Ahri MID	 Gnar TOP	20	70.0	99.2	4
 Caitlyn ADC	 Sion TOP	20	70.0	145.3	0.1
 Seraphine SUPPORT	 Rumble TOP	22	68.2	-76.1	-2.5
 Ashe ADC	 Ryze MID	22	68.2	-24.2	-7
 Bard SUPPORT	 Sion TOP	25	68.0	-461.2	-11.4
 Bard SUPPORT	 Rumble TOP	24	66.7	292.2	-5.6
 Caitlyn ADC	 Ryze MID	26	65.4	256.9	11
 Ryze MID	 Seraphine SUPPORT	23	65.2	-112.1	-5.1
 Skarner JUNGLE	 Bard SUPPORT	23	65.2	26.5	4.5
 Nami SUPPORT	 Sion TOP	23	65.2	-392.2	-11.4
 Ryze MID	 Nami SUPPORT	22	63.6	-125.2	1
 Ryze MID	 Gnar TOP	30	63.3	4.1	0.8
 Ashe ADC	 Gnar TOP	27	63.0	5.4	2.1
 Ashe ADC	 Xin Zhao JUNGLE	59	62.7	-288	-3.7
 Xin Zhao JUNGLE	 Nami SUPPORT	24	62.5	-425.7	-1.3
 Lee Sin JUNGLE	 Annie MID	24	62.5	282	5.6
 Lucian ADC	 Gnar TOP	21	61.9	226	-8.3
 Vi JUNGLE	 Ahri MID	47	61.7	187.2	7.3
 Caitlyn ADC	 Jarvan IV JUNGLE	26	61.5	353.8	10.5
 Caitlyn ADC	 Bard SUPPORT	74	60.8	-6.4	0.8
 Ashe ADC	 Seraphine SUPPORT	173	60.7	-21.3	0
 Annie MID	 Seraphine SUPPORT	28	60.7	-130.4	-0.1
 Nautilus SUPPORT	 Rumble TOP	25	60.0	172.2	-5.9
 Jarvan IV JUNGLE	 KSante TOP	25	60.0	67.6	1.6
 Ahri MID	 Rumble TOP	20	60.0	212.1	10.7
 Vi JUNGLE	 Rakan SUPPORT	20	60.0	30.7	8.1
 Nami SUPPORT	 Gnar TOP	20	60.0	-241	-6.7
 Lucian ADC	 Wukong JUNGLE	20	60.0	294.4	2.1
 Xin Zhao JUNGLE	 Ryze MID	37	59.5	169.6	6.4
 Ezreal ADC	 Annie MID	27	59.3	-96.9	-6.4
 Lucian ADC	 Nami SUPPORT	22	59.1	-31	-4.5
 Ahri MID	 Lulu SUPPORT	22	59.1	310.2	5.3
 Jarvan IV JUNGLE	 Seraphine SUPPORT	34	58.8	514.3	8
 Jarvan IV JUNGLE	 Sion TOP	29	58.6	-371.1	-8.8
 Pantheon JUNGLE	 Bard SUPPORT	36	58.3	-23.7	-5.7
 Ryze MID	 Bard SUPPORT	36	58.3	37.4	-0.2
 Lee Sin JUNGLE	 Ryze MID	36	58.3	-136.2	4.3
 Vi JUNGLE	 Rumble TOP	31	58.1	130.1	-5.4
 Caitlyn ADC	 Pantheon JUNGLE	26	57.7	251.1	-2.3
 Xin Zhao JUNGLE	 KSante TOP	28	57.1	-448.6	-0.2
 Skarner JUNGLE	 Rumble TOP	21	57.1	-199.2	-3.2
 Xin Zhao JUNGLE	 Seraphine SUPPORT	62	56.5	-118.6	-0.8
 Yone MID	 Rumble TOP	23	56.5	118.4	-2.8
 Corki ADC	 Gnar TOP	23	56.5	-92.3	-5.4
 Xin Zhao JUNGLE	 Aurora MID	32	56.3	-164.3	-1
 Ezreal ADC	 Bard SUPPORT	50	56.0	50.6	-3.8
 Ezreal ADC	 Azir MID	25	56.0	-70.1	8.3
 Jarvan IV JUNGLE	 Gnar TOP	27	55.6	264.7	-2.3
 Seraphine SUPPORT	 Gnar TOP	29	55.2	405.8	4.6
 Yunara ADC	 KSante TOP	20	55.0	-26.7	-7.4
 Orianna MID	 Sion TOP	20	55.0	154.2	6.3
 Ryze MID	 Sion TOP	20	55.0	-353	-8.4
 Naafiri JUNGLE	 Sion TOP	20	55.0	337.8	6.9
 Annie MID	 Milio SUPPORT	20	55.0	-455.4	-4.8
 Nocturne JUNGLE	 Neeko SUPPORT	31	54.8	278.1	6
 Vi JUNGLE	 Sion TOP	22	54.5	-266.3	-0.9
