Champion 1	Champion 2	# Games	Winrate	Duo GD@15	Duo CSD@15
 Pantheon JUNGLE	 Annie MID	20	80.0	390	5.8
 Lee Sin JUNGLE	 Annie MID	24	62.5	282	5.6
 Vi JUNGLE	 Ahri MID	47	61.7	187.2	7.3
 Xin Zhao JUNGLE	 Ryze MID	37	59.5	169.6	6.4
 Lee Sin JUNGLE	 Ryze MID	36	58.3	-136.2	4.3
 Xin Zhao JUNGLE	 Aurora MID	32	56.3	-164.3	-1
 Nocturne JUNGLE	 Ryze MID	21	52.4	89.4	-1.3
 Naafiri JUNGLE	 Annie MID	23	47.8	119.6	-2.8
 Jarvan IV JUNGLE	 Azir MID	23	47.8	101.9	8.2
 Jarvan IV JUNGLE	 Ryze MID	42	47.6	178	-0.4
 Xin Zhao JUNGLE	 Viktor MID	21	47.6	-278.5	2.9
 Naafiri JUNGLE	 Ryze MID	20	45.0	167.4	6.2
 Jarvan IV JUNGLE	 Aurora MID	30	43.3	238	-0.1
 Jarvan IV JUNGLE	 Annie MID	28	42.9	190.5	2.7
 Pantheon JUNGLE	 Azir MID	22	40.9	-291	-8.3
 Pantheon JUNGLE	 Ryze MID	28	39.3	-69.4	-5.2
 Pantheon JUNGLE	 Aurora MID	27	37.0	-251.1	-5.1
 Skarner JUNGLE	 Azir MID	20	35.0	-855.8	-21.1
 Wukong JUNGLE	 Annie MID	28	32.1	-231.6	0.2
 Xin Zhao JUNGLE	 Azir MID	26	30.8	-655.3	-8.4
