Champion 1	Champion 2	Champion 3	# Games	Winrate	Duo GD@15	Duo CSD@15
 Ashe ADC	 Seraphine SUPPORT	 Yorick TOP	13	92.3	-571.6	-3.8
 Ashe ADC	 Viktor MID	 Seraphine SUPPORT	10	90.0	284.6	12
 Ashe ADC	 Seraphine SUPPORT	 Rumble TOP	16	81.3	79.1	-1.9
 Ashe ADC	 Pantheon JUNGLE	 Seraphine SUPPORT	23	78.3	46.8	-1.9
 Ashe ADC	 Xin Zhao JUNGLE	 Aurora MID	13	76.9	-261.1	-12.2
 Ashe ADC	 Ryze MID	 Seraphine SUPPORT	18	72.2	-160.9	-8.5
 Caitlyn ADC	 Pantheon JUNGLE	 Bard SUPPORT	14	71.4	-86	-6.4
 Lucian ADC	 Cassiopeia MID	 Milio SUPPORT	10	70.0	-88.8	2.1
 Ashe ADC	 Xin Zhao JUNGLE	 Seraphine SUPPORT	49	67.3	-74.7	-0.3
 Caitlyn ADC	 Skarner JUNGLE	 Bard SUPPORT	12	66.7	267.8	15.2
 Corki ADC	 Nami SUPPORT	 Gnar TOP	17	64.7	78.2	0.6
 Xin Zhao JUNGLE	 Aurora MID	 Seraphine SUPPORT	14	64.3	70.1	-3
 Corki ADC	 Nami SUPPORT	 Renekton TOP	14	64.3	-206.1	-0.6
 Ashe ADC	 Wukong JUNGLE	 Seraphine SUPPORT	11	63.6	-102.5	15.6
 Ashe ADC	 Ahri MID	 Seraphine SUPPORT	11	63.6	162.4	9.9
 Corki ADC	 Ryze MID	 Nami SUPPORT	16	62.5	-299.4	1.8
 Ashe ADC	 Naafiri JUNGLE	 Seraphine SUPPORT	13	61.5	-327	-0.4
 Corki ADC	 Xin Zhao JUNGLE	 Nami SUPPORT	13	61.5	-985.2	1.9
 Lucian ADC	 Milio SUPPORT	 Gnar TOP	18	61.1	386	-14
 Ashe ADC	 Seraphine SUPPORT	 Gnar TOP	23	60.9	184.3	2.7
 Lucian ADC	 Twisted Fate MID	 Milio SUPPORT	10	60.0	613.1	8.3
 Vi JUNGLE	 Ahri MID	 Rumble TOP	10	60.0	381.8	10.8
 Ashe ADC	 Azir MID	 Seraphine SUPPORT	10	60.0	98.6	5.4
 Xin Zhao JUNGLE	 Seraphine SUPPORT	 KSante TOP	10	60.0	-193.3	1.4
 Caitlyn ADC	 Ryze MID	 Bard SUPPORT	12	58.3	-219.5	0.4
 Caitlyn ADC	 Jarvan IV JUNGLE	 Bard SUPPORT	12	58.3	-376.5	4.2
 Yunara ADC	 Ahri MID	 Lulu SUPPORT	16	56.3	311.9	-1.2
